E-table state encoding (flip, slice_id, edge8_perm, slice_perm)
======================================================================

E0195 [   0,494,27994,15] [ 5步] U翻棱:R2 | D归位:U | 中层:D' | 收尾:B2 U
E0196 [   0,494,11961,22] [ 8步] U翻棱:F2 U' | D归位:D2 R2 | 中层:L2 F2 | 收尾:U' B2
E0197 [   0,494,15225, 1] [ 2步] U翻棱:B2 | D归位: | 中层: | 收尾:U'
E0198 [   0,494, 3186, 8] [ 8步] U翻棱:L2 U' | D归位:L2 U2 | 中层:L2 U' | 收尾:F2 D
E0199 [   0,494,19933, 7] [ 8步] U翻棱:D2 B2 | D归位:U F2 | 中层:B2 U | 收尾:D2 B2
E0200 [   0,494,29819,21] [ 5步] U翻棱:F2 | D归位:D' | 中层:F2 | 收尾:R2 D'
E0201 [   0,494,29925, 4] [ 8步] U翻棱:D R2 | D归位:D2 L2 | 中层:U2 R2 | 收尾:D' B2
E0202 [   0,494,   42, 1] [ 3步] U翻棱:D2 | D归位: | 中层:B2 | 收尾:D'
E0203 [   0,494,17542, 8] [10步] U翻棱:D' F2 | D归位:U R2 B2 | 中层:U2 R2 | 收尾:L2 D L2
E0204 [   0,494,16854, 5] [ 5步] U翻棱:F2 | D归位:U2 | 中层:R2 | 收尾:F2 U
E0205 [   0,494, 9738, 4] [ 7步] U翻棱:U2 | D归位:D2 F2 | 中层:B2 R2 | 收尾:F2 U'
E0206 [   0,494,37449,21] [ 4步] U翻棱:D' | D归位:R2 | 中层:U2 | 收尾:D
E0207 [   0,494,12979,13] [10步] U翻棱:L2 F2 | D归位:U D2 B2 | 中层:U' L2 | 收尾:U2 R2 D
E0208 [   0,494,15120, 3] [ 5步] U翻棱:D' | D归位:B2 | 中层:U' | 收尾:D L2
E0209 [   0,494,  100,23] [ 7步] U翻棱:U | D归位:D R2 | 中层:U2 D | 收尾:L2 U
E0210 [   0,494,36331, 6] [ 6步] U翻棱:U | D归位:F2 B2 | 中层:U' | 收尾:B2 D2
E0211 [   0,494,10753,11] [ 7步] U翻棱:U | D归位:R2 L2 | 中层:D' B2 | 收尾:L2 U
E0212 [   0,494,11499, 1] [ 6步] U翻棱:B2 | D归位:R2 U2 | 中层:R2 | 收尾:U2 D
E0213 [   0,494,20640,23] [ 6步] U翻棱:B2 | D归位:D B2 | 中层:R2 | 收尾:L2 U'
E0214 [   0,494,19377,12] [ 9步] U翻棱:U2 R2 | D归位:F2 B2 | 中层:R2 F2 | 收尾:R2 U D
E0215 [   0,494, 9258,20] [ 6步] U翻棱:B2 | D归位:L2 U | 中层:D' | 收尾:R2 L2
E0216 [   0,494,11808,23] [ 6步] U翻棱:U' | D归位:D' L2 | 中层:U' | 收尾:D R2
E0217 [   0,494,20859,13] [ 6步] U翻棱:U | D归位:F2 D | 中层:B2 | 收尾:U2 L2
E0218 [   0,494,26273, 3] [ 5步] U翻棱:F2 | D归位:B2 | 中层:U | 收尾:F2 L2
E0219 [   0,494,11630,19] [ 5步] U翻棱:U | D归位:R2 | 中层:U | 收尾:D F2
E0220 [   0,494,38632,17] [ 5步] U翻棱:U' | D归位:R2 | 中层:L2 | 收尾:B2 U2
E0221 [   0,494,30634,19] [ 6步] U翻棱:B2 | D归位:L2 B2 | 中层:R2 | 收尾:U' D2
E0222 [   0,494, 1857, 1] [ 5步] U翻棱:B2 | D归位:R2 | 中层:U2 | 收尾:R2 D'
E0223 [   0,494,23496,17] [ 5步] U翻棱:U | D归位:F2 | 中层:R2 | 收尾:L2 D
E0224 [   0,494, 5032,22] [10步] U翻棱:F2 U | D归位:L2 B2 U | 中层:D2 F2 | 收尾:U L2 U
E0225 [   0,494,13487, 0] [ 6步] U翻棱:U | D归位:L2 U' | 中层:D | 收尾:L2 U2
E0226 [   0,494,37094,22] [ 6步] U翻棱:R2 | D归位:D' L2 | 中层:U | 收尾:D2 F2
