corner_class,edge_class,canonical_a,canonical_b,sym,length
8,64,8,60,3,6
14,73,8,60,4,6
16,73,8,60,5,6
16,64,8,60,6,6
14,57,8,60,7,6
8,65,8,65,0,6
11,47,8,65,1,6
11,46,8,65,2,6
8,66,8,65,3,6
14,42,8,65,4,6
16,68,8,65,5,6
16,67,8,65,6,6
14,43,8,65,7,6
8,71,8,71,0,6
11,49,8,71,1,6
11,48,8,71,2,6
8,72,8,71,3,6
14,52,8,71,4,6
16,70,8,71,5,6
16,69,8,71,6,6
14,53,8,71,7,6
8,79,8,79,0,6
11,54,8,79,1,6
14,79,8,79,4,6
16,54,8,79,5,6
8,86,8,86,0,6
11,90,8,86,1,6
11,88,8,86,2,6
8,91,8,86,3,6
14,91,8,86,4,6
16,88,8,86,5,6
16,90,8,86,6,6
14,86,8,86,7,6
8,87,8,87,0,7
11,100,8,87,1,7
14,101,8,87,4,7
16,89,8,87,5,7
8,88,8,88,0,9
11,91,8,88,1,9
14,90,8,88,4,9
16,86,8,88,5,9
8,89,8,89,0,6
11,101,8,89,1,6
11,87,8,89,2,6
8,100,8,89,3,6
14,100,8,89,4,6
16,87,8,89,5,6
16,101,8,89,6,6
14,89,8,89,7,6
8,90,8,90,0,7
11,86,8,90,1,7
14,88,8,90,4,7
16,91,8,90,5,7
8,101,8,101,0,8
11,89,8,101,1,8
14,87,8,101,4,8
16,100,8,101,5,8
8,104,8,104,0,8
11,117,8,104,1,8
11,118,8,104,2,8
8,106,8,104,3,8
14,105,8,104,4,8
16,116,8,104,5,8
16,119,8,104,6,8
14,107,8,104,7,8
8,105,8,105,0,8
11,116,8,105,1,8
11,119,8,105,2,8
8,107,8,105,3,8
14,104,8,105,4,8
16,117,8,105,5,8
16,118,8,105,6,8
14,106,8,105,7,8
8,108,8,108,0,7
11,109,8,108,1,7
11,112,8,108,2,7
8,111,8,108,3,7
14,114,8,108,4,7
16,115,8,108,5,7
16,110,8,108,6,7
14,113,8,108,7,7
8,109,8,109,0,7
11,108,8,109,1,7
11,113,8,109,2,7
8,110,8,109,3,7
14,115,8,109,4,7
16,114,8,109,5,7
16,111,8,109,6,7
14,112,8,109,7,7
8,112,8,112,0,7
11,111,8,112,1,7
11,114,8,112,2,7
8,115,8,112,3,7
14,110,8,112,4,7
16,113,8,112,5,7
16,108,8,112,6,7
14,109,8,112,7,7
8,113,8,113,0,7
11,110,8,113,1,7
11,115,8,113,2,7
8,114,8,113,3,7
14,111,8,113,4,7
16,112,8,113,5,7
16,109,8,113,6,7
14,108,8,113,7,7
8,116,8,116,0,8
11,105,8,116,1,8
11,106,8,116,2,8
8,118,8,116,3,8
14,117,8,116,4,8
16,104,8,116,5,8
16,107,8,116,6,8
14,119,8,116,7,8
8,117,8,117,0,8
11,104,8,117,1,8
11,107,8,117,2,8
8,119,8,117,3,8
14,116,8,117,4,8
16,105,8,117,5,8
16,106,8,117,6,8
14,118,8,117,7,8
8,136,8,136,0,8
11,137,8,136,1,8
11,136,8,136,2,8
8,137,8,136,3,8
14,136,8,136,4,8
16,137,8,136,5,8
16,136,8,136,6,8
14,137,8,136,7,8
9,1,9,1,0,6
12,2,9,1,1,6
18,1,9,1,2,6
18,2,9,1,3,6
12,1,9,1,4,6
9,2,9,1,5,6
19,1,9,1,6,6
19,2,9,1,7,6
9,4,9,4,0,7
12,9,9,4,1,7
18,6,9,4,2,7
18,10,9,4,3,7
12,5,9,4,4,7
9,8,9,4,5,7
19,7,9,4,6,7
19,11,9,4,7,7
9,5,9,5,0,7
12,8,9,5,1,7
18,7,9,5,2,7
18,11,9,5,3,7
12,4,9,5,4,7
9,9,9,5,5,7
19,6,9,5,6,7
19,10,9,5,7,7
9,6,9,6,0,7
12,10,9,6,1,7
18,5,9,6,2,7
18,8,9,6,3,7
12,7,9,6,4,7
9,11,9,6,5,7
19,4,9,6,6,7
19,9,9,6,7,7
9,7,9,7,0,7
12,11,9,7,1,7
18,4,9,7,2,7
18,9,9,7,3,7
12,6,9,7,4,7
9,10,9,7,5,7
19,5,9,7,6,7
19,8,9,7,7,7
9,13,9,13,0,3
12,38,9,13,1,3
18,28,9,13,2,3
18,41,9,13,3,3
12,16,9,13,4,3
9,39,9,13,5,3
19,31,9,13,6,3
19,40,9,13,7,3
9,16,9,16,0,5
12,39,9,16,1,5
18,31,9,16,2,5
18,40,9,16,3,5
12,13,9,16,4,5
9,38,9,16,5,5
19,28,9,16,6,5
19,41,9,16,7,5
9,18,9,18,0,6
12,33,9,18,1,6
18,33,9,18,2,6
18,18,9,18,3,6
12,18,9,18,4,6
9,33,9,18,5,6
19,33,9,18,6,6
19,18,9,18,7,6
9,19,9,19,0,7
12,20,9,19,1,7
18,25,9,19,2,7
18,26,9,19,3,7
12,26,9,19,4,7
9,25,9,19,5,7
19,20,9,19,6,7
19,19,9,19,7,7
9,20,9,20,0,7
12,19,9,20,1,7
18,19,9,20,2,7
18,20,9,20,3,7
12,25,9,20,4,7
9,26,9,20,5,7
19,26,9,20,6,7
19,25,9,20,7,7
9,28,9,28,0,6
12,41,9,28,1,6
18,16,9,28,2,6
18,39,9,28,3,6
12,31,9,28,4,6
9,40,9,28,5,6
19,13,9,28,6,6
19,38,9,28,7,6
9,31,9,31,0,6
12,40,9,31,1,6
18,13,9,31,2,6
18,38,9,31,3,6
12,28,9,31,4,6
9,41,9,31,5,6
19,16,9,31,6,6
19,39,9,31,7,6
9,44,9,44,0,7
12,51,9,44,1,7
18,76,9,44,2,7
19,77,9,44,6,7
9,45,9,45,0,7
12,50,9,45,1,7
18,75,9,45,2,7
19,78,9,45,6,7
9,50,9,50,0,8
12,45,9,50,1,8
18,78,9,50,2,8
19,75,9,50,6,8
9,51,9,51,0,8
12,44,9,51,1,8
18,77,9,51,2,8
19,76,9,51,6,8
9,56,9,56,0,4
12,63,9,56,1,4
18,63,9,56,2,4
18,56,9,56,3,4
12,59,9,56,4,4
9,62,9,56,5,4
19,62,9,56,6,4
19,59,9,56,7,4
9,59,9,59,0,6
12,62,9,59,1,6
18,62,9,59,2,6
18,59,9,59,3,6
12,56,9,59,4,6
9,63,9,59,5,6
19,63,9,59,6,6
19,56,9,59,7,6
9,75,9,75,0,5
12,75,9,75,1,5
18,50,9,75,2,5
18,45,9,75,3,5
12,78,9,75,4,5
9,78,9,75,5,5
19,45,9,75,6,5
19,50,9,75,7,5
9,76,9,76,0,5
12,76,9,76,1,5
18,51,9,76,2,5
18,44,9,76,3,5
12,77,9,76,4,5
9,77,9,76,5,5
19,44,9,76,6,5
19,51,9,76,7,5
9,80,9,80,0,6
12,97,9,80,1,6
18,93,9,80,2,6
18,84,9,80,3,6
12,81,9,80,4,6
9,96,9,80,5,6
19,92,9,80,6,6
19,85,9,80,7,6
9,81,9,81,0,7
12,96,9,81,1,7
18,92,9,81,2,7
18,85,9,81,3,7
12,80,9,81,4,7
9,97,9,81,5,7
19,93,9,81,6,7
19,84,9,81,7,7
9,82,9,82,0,6
12,102,9,82,1,6
18,103,9,82,2,6
18,83,9,82,3,6
12,99,9,82,4,6
9,95,9,82,5,6
19,94,9,82,6,6
19,98,9,82,7,6
9,83,9,83,0,6
12,103,9,83,1,6
18,102,9,83,2,6
18,82,9,83,3,6
12,98,9,83,4,6
9,94,9,83,5,6
19,95,9,83,6,6
19,99,9,83,7,6
9,84,9,84,0,7
12,93,9,84,1,7
18,97,9,84,2,7
18,80,9,84,3,7
12,85,9,84,4,7
9,92,9,84,5,7
19,96,9,84,6,7
19,81,9,84,7,7
9,85,9,85,0,6
12,92,9,85,1,6
18,96,9,85,2,6
18,81,9,85,3,6
12,84,9,85,4,6
9,93,9,85,5,6
19,97,9,85,6,6
19,80,9,85,7,6
9,98,9,98,0,7
12,94,9,98,1,7
18,95,9,98,2,7
18,99,9,98,3,7
12,83,9,98,4,7
9,103,9,98,5,7
19,102,9,98,6,7
19,82,9,98,7,7
9,99,9,99,0,7
12,95,9,99,1,7
18,94,9,99,2,7
18,98,9,99,3,7
12,82,9,99,4,7
9,102,9,99,5,7
19,103,9,99,6,7
19,83,9,99,7,7
9,120,9,120,0,7
12,127,9,120,1,7
18,129,9,120,2,7
18,122,9,120,3,7
12,122,9,120,4,7
9,129,9,120,5,7
19,127,9,120,6,7
19,120,9,120,7,7
9,121,9,121,0,7
12,126,9,121,1,7
18,128,9,121,2,7
18,123,9,121,3,7
12,123,9,121,4,7
9,128,9,121,5,7
19,126,9,121,6,7
19,121,9,121,7,7
9,122,9,122,0,8
12,129,9,122,1,8
18,127,9,122,2,8
18,120,9,122,3,8
12,120,9,122,4,8
9,127,9,122,5,8
19,129,9,122,6,8
19,122,9,122,7,8
9,123,9,123,0,8
12,128,9,123,1,8
18,126,9,123,2,8
18,121,9,123,3,8
12,121,9,123,4,8
9,126,9,123,5,8
19,128,9,123,6,8
19,123,9,123,7,8
9,124,9,124,0,7
12,134,9,124,1,7
18,134,9,124,2,7
18,124,9,124,3,7
12,133,9,124,4,7
9,131,9,124,5,7
19,131,9,124,6,7
19,133,9,124,7,7
9,125,9,125,0,7
12,135,9,125,1,7
18,135,9,125,2,7
18,125,9,125,3,7
12,132,9,125,4,7
9,130,9,125,5,7
19,130,9,125,6,7
19,132,9,125,7,7
9,132,9,132,0,8
12,130,9,132,1,8
18,130,9,132,2,8
18,132,9,132,3,8
12,125,9,132,4,8
9,135,9,132,5,8
19,135,9,132,6,8
19,125,9,132,7,8
9,133,9,133,0,8
12,131,9,133,1,8
18,131,9,133,2,8
18,133,9,133,3,8
12,124,9,133,4,8
9,134,9,133,5,8
19,134,9,133,6,8
19,124,9,133,7,8
9,138,9,138,0,9
12,138,9,138,1,9
18,138,9,138,2,9
19,138,9,138,6,9
9,139,9,139,0,9
12,139,9,139,1,9
18,139,9,139,2,9
19,139,9,139,6,9
10,0,10,0,0,6
