ep_0..11,canonical_id,sym_index,length,formula
3 0 2 1 6 7 4 5 11 9 8 10,C642,4,13,U2 L2 D2 L2 F2 D L2 F2 R2 U' R2 U2 B2
3 0 2 1 6 7 4 5 11 10 9 8,C647,4,13,B2 L2 U L2 U D2 B2 F2 D L2 D' R2 B2
3 0 2 1 6 7 5 4 8 9 11 10,C385,4,12,B2 R2 D L2 R2 U' L2 U2 F2 D2 F2 U2
3 0 2 1 6 7 5 4 8 10 9 11,C121,4,11,B2 R2 D L2 R2 U F2 D2 R2 F2 U2
3 0 2 1 6 7 5 4 8 11 10 9,C384,4,12,B2 R2 U B2 F2 U L2 U' D' R2 F2 U2
3 0 2 1 6 7 5 4 9 8 10 11,C383,4,12,U L2 B2 D2 L2 U B2 F2 D B2 R2 U
3 0 2 1 6 7 5 4 9 10 11 8,C386,4,12,B2 R2 D L2 R2 D R2 U D R2 F2 U2
3 0 2 1 6 7 5 4 9 11 8 10,C120,4,11,B2 R2 U B2 F2 D F2 U2 L2 B2 D2
3 0 2 1 6 7 5 4 10 8 11 9,C119,4,11,B2 R2 U B2 F2 D F2 D2 R2 F2 U2
3 0 2 1 6 7 5 4 10 9 8 11,C387,4,12,B2 R2 D L2 R2 D R2 U' D' L2 B2 D2
3 0 2 1 6 7 5 4 10 11 9 8,C390,4,12,U L2 B2 D2 L2 D L2 R2 U B2 R2 U
3 0 2 1 6 7 5 4 11 8 9 10,C389,4,12,B2 R2 U B2 F2 U L2 U D L2 B2 D2
3 0 2 1 6 7 5 4 11 9 10 8,C118,4,11,B2 R2 D L2 R2 U F2 U2 L2 B2 D2
3 0 2 1 6 7 5 4 11 10 8 9,C388,4,12,B2 R2 U B2 F2 D' R2 U2 B2 U2 F2 U2
3 0 2 1 7 4 5 6 8 9 11 10,C846,4,14,U2 L2 U B2 U' R2 D' B2 U' F2 D' B2 U R2
3 0 2 1 7 4 5 6 8 10 9 11,C852,4,14,U2 L2 U2 B2 U B2 F2 L2 F2 L2 D F2 U2 L2
3 0 2 1 7 4 5 6 8 11 10 9,C648,4,13,L2 U2 B2 U L2 R2 F2 R2 F2 D' R2 D2 F2
3 0 2 1 7 4 5 6 9 8 10 11,C844,4,14,U2 L2 U B2 U' R2 D' B2 D' L2 D' R2 D R2
3 0 2 1 7 4 5 6 9 10 11 8,C847,4,14,U2 L2 D L2 D' R2 D' B2 D' L2 D' R2 D R2
3 0 2 1 7 4 5 6 9 11 8 10,C849,4,14,U2 L2 U B2 U' R2 D' B2 D' L2 U' B2 U R2
3 0 2 1 7 4 5 6 10 8 11 9,C848,4,14,U2 L2 U B2 D' F2 D' R2 U' L2 D' R2 D R2
3 0 2 1 7 4 5 6 10 9 8 11,C649,4,13,L2 U2 B2 D L2 B2 L2 B2 F2 U' L2 U2 F2
3 0 2 1 7 4 5 6 10 11 9 8,C853,4,14,U2 B2 F2 D B2 U2 L2 B2 U2 F2 L2 D' B2 F2
3 0 2 1 7 4 5 6 11 8 9 10,C851,4,14,U2 L2 U B2 D' F2 U' B2 U' F2 D' B2 U R2
3 0 2 1 7 4 5 6 11 9 10 8,C845,4,14,U2 L2 D2 F2 U L2 B2 L2 B2 F2 D B2 D2 L2
3 0 2 1 7 4 5 6 11 10 8 9,C850,4,14,U2 B2 F2 D B2 D2 L2 B2 U2 B2 R2 D' B2 F2
3 0 2 1 7 4 6 5 8 9 10 11,C033,1,10,D2 F2 L2 U' L2 R2 D R2 F2 D2
3 0 2 1 7 4 6 5 8 10 11 9,C243,1,12,D U L2 B2 D2 U F2 B2 U R2 F2 D2
3 0 2 1 7 4 6 5 8 11 9 10,C078,1,11,D2 F2 L2 U' L2 R2 U F2 L2 D' U'
3 0 2 1 7 4 6 5 9 8 11 10,C075,1,11,D2 F2 L2 D U2 F2 B2 U R2 F2 D2
3 0 2 1 7 4 6 5 9 10 8 11,C242,1,12,D2 F2 D U' F2 D' L2 R2 D R2 F2 D2
3 0 2 1 7 4 6 5 9 11 10 8,C241,1,12,D U L2 B2 D U2 L2 R2 D R2 F2 D2
3 0 2 1 7 4 6 5 10 8 9 11,C077,1,11,D U L2 B2 D' L2 R2 D L2 B2 U2
3 0 2 1 7 4 6 5 10 9 11 8,C240,1,12,D2 F2 L2 D U2 F2 B2 D B2 R2 D U
3 0 2 1 7 4 6 5 10 11 8 9,C034,1,10,D2 F2 L2 D' F2 B2 U L2 B2 U2
3 0 2 1 7 4 6 5 11 8 10 9,C076,1,11,D2 F2 L2 D' F2 B2 D F2 L2 D' U'
3 0 2 1 7 4 6 5 11 9 8 10,C074,1,11,D U L2 B2 U' F2 B2 U L2 B2 U2
3 0 2 1 7 4 6 5 11 10 9 8,C079,1,11,D2 F2 L2 D2 U L2 R2 D L2 B2 U2
3 0 2 1 7 5 4 6 8 9 10 11,C035,3,10,D F2 L2 U' R2 L2 D R2 F2 D'
3 0 2 1 7 5 4 6 8 10 11 9,C080,3,11,U R2 F2 D2 U' R2 L2 U' L2 B2 D'
3 0 2 1 7 5 4 6 8 11 9 10,C036,3,10,D F2 L2 U' R2 L2 U F2 L2 U'
3 0 2 1 7 5 4 6 9 8 11 10,C086,3,11,D F2 L2 D U2 F2 B2 U R2 F2 D'
3 0 2 1 7 5 4 6 9 10 8 11,C253,3,12,D F2 D U' F2 D' R2 L2 D R2 F2 D'
3 0 2 1 7 5 4 6 9 11 10 8,C085,3,11,U R2 F2 D F2 B2 D U2 L2 B2 D'
3 0 2 1 7 5 4 6 10 8 9 11,C083,3,11,D2 U' R2 F2 U' F2 B2 U R2 F2 D'
3 0 2 1 7 5 4 6 10 9 11 8,C252,3,12,D F2 L2 D U2 F2 B2 D B2 R2 D2 U
3 0 2 1 7 5 4 6 10 11 8 9,C084,3,11,D F2 L2 D' F2 B2 U L2 B2 D U2
3 0 2 1 7 5 4 6 11 8 10 9,C037,3,10,D F2 L2 D' F2 B2 D F2 L2 U'
3 0 2 1 7 5 4 6 11 9 8 10,C082,3,11,D2 U' R2 F2 D' R2 L2 D R2 F2 D'
3 0 2 1 7 5 4 6 11 10 9 8,C081,3,11,U R2 F2 D2 U' R2 L2 D' B2 R2 U'
3 0 2 1 7 5 6 4 8 9 11 10,C443,1,13,L2 F2 D2 L2 U L2 R2 D L2 R2 B2 R2 U2
3 0 2 1 7 5 6 4 8 10 9 11,C451,1,13,R2 D L2 D2 F2 R2 U2 F2 R2 F2 R2 D R2
3 0 2 1 7 5 6 4 8 11 10 9,C448,1,13,F2 D2 L2 U L2 R2 D L2 R2 B2 R2 U2 L2
3 0 2 1 7 5 6 4 9 8 10 11,C446,1,13,L2 B2 L2 R2 D2 R2 D' L2 R2 U' B2 L2 D2
3 0 2 1 7 5 6 4 9 10 11 8,C450,1,13,F2 R2 D2 L2 D F2 B2 U F2 R2 D2 F2 R2
3 0 2 1 7 5 6 4 9 11 8 10,C741,1,14,D2 L2 D F2 B2 U F2 R2 D L2 B2 R2 U' L2
3 0 2 1 7 5 6 4 10 8 11 9,C740,1,14,D2 L2 U2 F2 L2 R2 U F2 B2 D' B2 L2 D2 L2
3 0 2 1 7 5 6 4 10 9 8 11,C445,1,13,R2 D' F2 L2 B2 R2 D2 R2 U2 F2 R2 D' R2
3 0 2 1 7 5 6 4 10 11 9 8,C449,1,13,L2 B2 L2 R2 D2 R2 U' F2 B2 D' B2 L2 D2
3 0 2 1 7 5 6 4 11 8 9 10,C447,1,13,F2 D2 L2 D F2 B2 U L2 R2 B2 R2 U2 L2
3 0 2 1 7 5 6 4 11 9 10 8,C444,1,13,R2 D L2 U2 F2 R2 U2 F2 L2 B2 R2 D R2
3 0 2 1 7 5 6 4 11 10 8 9,C452,1,13,L2 F2 D2 L2 D F2 B2 U L2 R2 B2 R2 U2
3 0 2 1 7 6 4 5 8 9 11 10,C375,4,12,U D R2 F2 U L2 R2 U B2 D2 L2 B2
